domain,adj.r.squared,source
A0A2R8Y422_PF00240_2,0.009714766938445085,Domainome 1.0
A0PJY2_PF00096_289,0.022397828751532733,Domainome 1.0
A1X283_PF00018_155,0.4869803334801298,Domainome 1.0
A1X283_PF00018_222,0.3117340593753023,Domainome 1.0
A2RRE5_PF01846_267,0.1340258272681083,Domainome 1.0
A6NK59_PF07525_532,0.015401328634404354,Domainome 1.0
EEHEE-rd3-0037_rockdoms_1,0.022229055132711117,Domainome 1.0
EHEE-rd1-0882_rockdoms_1,0.0933432141018411,Domainome 1.0
HHH-rd1-0142_rockdoms_1,0.34875518450579857,Domainome 1.0
O00308_PF00397_440,0.5063035928468891,Domainome 1.0
O00330_PF02817_181,0.02503483285552177,Domainome 1.0
O14529_PF02376_1036,0.2198308486354149,Domainome 1.0
O14529_PF02376_895,0.1450157744231716,Domainome 1.0
O14640_PF00595_246,0.1709696789763775,Domainome 1.0
O14640_PF00778_4,0.09056378896405715,Domainome 1.0
O14776_PF01846_645,0.19937283084888258,Domainome 1.0
O14776_PF01846_727,0.040543883136668124,Domainome 1.0
O14776_PF01846_793,0.14372555415712374,Domainome 1.0
O14776_PF01846_897,0.12956252698756787,Domainome 1.0
O14776_PF01846_955,0.01077558958700886,Domainome 1.0
O14813_PF00046_92,0.1424849650892267,Domainome 1.0
O14901_PF00096_395,0.04618210584942273,Domainome 1.0
O14936_PF00595_488,0.3581419658608579,Domainome 1.0
O15151_PF00641_299,0.3481596042591788,Domainome 1.0
O15259_PF00018_152,0.29070929016048286,Domainome 1.0
O15265_PF08313_334,0.26833075915146076,Domainome 1.0
O15266_PF00046_119,0.16792172332544852,Domainome 1.0
O15344_PF00643_172,0.24787688345490133,Domainome 1.0
O15350_PF07647_487,0.530385903893038,Domainome 1.0
O15405_PF00505_256,0.2449293759352924,Domainome 1.0
O15541_PF00642_198,0.07908317864425396,Domainome 1.0
O43167_PF00096_351,0.17552899461614968,Domainome 1.0
O43167_PF00096_435,0.06751045672923295,Domainome 1.0
O43186_PF00046_41,0.24742565709652997,Domainome 1.0
O43295_PF00018_745,0.3431876080548508,Domainome 1.0
O43353_PF00619_438,0.16280232941129236,Domainome 1.0
O43374_PF00779_682,0.011095137114297327,Domainome 1.0
